palavra,contador
ect,13908
com,8882
subject,8063
hou,7289
enron,6555
resource,5482
left,5309
blank,5209
apple,5204
bcc,5180
mac,5179
intentionally,5175
chrome,5174
fork,5174
quarantine,5174
attr,5172
deal,3635
please,3200
gas,3036
meter,2716
hpl,2318
daren,1901
thanks,1898
need,1846
corp,1776
volume,1690
know,1611
day,1549
price,1518
new,1437
company,1432
may,1384
mmbtu,1349
get,1321
forwarded,1297
http,1242
see,1211
let,1183
contract,1169
farmer,1156
information,1155
change,1147
time,1109
month,1098
attached,1097
would,1078
message,1042
xl,1020
sale,995
one,988
mail,919
question,905
robert,904
email,889
sitara,861
ticket,847
nom,832
texas,827
energy,807
service,807
nomination,802
call,790
sent,775
number,768
also,764
www,756
pec,752
file,751
ena,732
flow,723
report,713
bob,710
production,703
product,689
want,689
like,662
net,661
following,651
business,638
system,636
contact,634
order,612
make,606
back,601
daily,586
statement,584
list,578
per,578
could,577
well,569
work,566
gary,564
mary,558
original,557
take,554
purchase,553
delivery,547
march,546
stock,546
july,529
april,528
help,528
today,526
first,523
week,519
font,517
inc,517
free,515
year,513
plant,510
effective,508
forward,507
rate,499
line,493
issue,486
use,484
security,472
set,469
name,464
melissa,462
customer,461
agreement,459
houston,456
fuel,453
group,453
teco,444
oil,441
vance,441
click,437
office,431
tenaska,431
within,431
point,428
june,427
america,426
next,424
look,423
offer,423
january,419
last,419
nbsp,418
george,417
market,417
north,414
transport,409
date,406
ami,403
request,400
thank,400
management,399
smith,399
pat,398
think,397
available,392
julie,392
less,391
two,391
based,388
send,386
show,386
desk,383
pipeline,380
term,380
activity,379
account,378
jackie,376
best,370
due,370
phone,367
looking,366
height,365
high,364
note,362
address,361
made,361
total,360
aimee,357
investment,357
pill,357
problem,356
money,355
noms,354
online,352
lisa,349
mark,349
hour,347
tap,345
fax,343
michael,343
team,341
process,340
david,339
friday,338
october,338
future,336
give,336
susan,336
link,335
august,332
size,331
actuals,330
hsc,330
find,325
home,323
meeting,323
transaction,323
cotten,321
john,319
taylor,319
currently,315
special,315
megan,312
many,311
internet,310
people,310
steve,309
chokshi,308
width,307
fee,305
risk,305
still,305
check,304
september,304
sure,304
good,303
